ts,name,cpuPct,mem
10:47:49,lucky-star-wallet-service,12.07%,503MiB / 15.47GiB
10:47:49,lucky-star-member-service,0.75%,500.7MiB / 15.47GiB
10:47:49,lucky-star-gateway-service,0.19%,484.1MiB / 15.47GiB
10:47:49,lucky-star-game-service,0.94%,779.7MiB / 15.47GiB
10:47:49,lucky-star-redis,0.42%,17.14MiB / 15.47GiB
10:47:49,lucky-star-admin-service,0.48%,768.7MiB / 15.47GiB
10:47:49,lucky-star-rank-service,1.57%,648.6MiB / 15.47GiB
10:47:49,lucky-star-notification-service,1.36%,351.7MiB / 15.47GiB
10:47:49,lucky-star-kafka-ui,0.10%,296.7MiB / 15.47GiB
10:47:49,lucky-star-postgres,0.55%,534.7MiB / 15.47GiB
10:47:49,lucky-star-kafka,9.70%,1.346GiB / 15.47GiB
10:47:49,lucky-star-mysql,0.51%,636.6MiB / 15.47GiB
10:47:49,lucky-star-grafana,0.10%,51.38MiB / 15.47GiB
10:47:49,lucky-star-prometheus,1.00%,59.62MiB / 15.47GiB
10:47:49,lucky-star-zookeeper,0.09%,136.7MiB / 15.47GiB
10:47:51,lucky-star-wallet-service,14.95%,500.9MiB / 15.47GiB
10:47:51,lucky-star-member-service,0.76%,500.9MiB / 15.47GiB
10:47:51,lucky-star-gateway-service,1.03%,484.4MiB / 15.47GiB
10:47:51,lucky-star-game-service,0.31%,779.4MiB / 15.47GiB
10:47:51,lucky-star-redis,0.33%,17.36MiB / 15.47GiB
10:47:51,lucky-star-admin-service,1.46%,767.9MiB / 15.47GiB
10:47:51,lucky-star-rank-service,2.95%,649.1MiB / 15.47GiB
10:47:51,lucky-star-notification-service,0.53%,350.9MiB / 15.47GiB
10:47:51,lucky-star-kafka-ui,0.12%,296.7MiB / 15.47GiB
10:47:51,lucky-star-postgres,0.66%,535MiB / 15.47GiB
10:47:51,lucky-star-kafka,3.52%,1.346GiB / 15.47GiB
10:47:51,lucky-star-mysql,0.55%,637.1MiB / 15.47GiB
10:47:51,lucky-star-grafana,0.04%,51.38MiB / 15.47GiB
10:47:51,lucky-star-prometheus,1.23%,60.08MiB / 15.47GiB
