ts,name,cpu,mem
14:30:54,lucky-star-wallet-service,422.01%,592.9MiB / 15.47GiB
14:30:54,lucky-star-gateway-service,71.56%,518.3MiB / 15.47GiB
14:30:54,lucky-star-game-service,202.73%,994.5MiB / 15.47GiB
14:30:54,lucky-star-member-service,0.27%,701.1MiB / 15.47GiB
14:30:54,lucky-star-admin-service,31.75%,660.7MiB / 15.47GiB
14:30:54,lucky-star-rank-service,20.93%,630.8MiB / 15.47GiB
14:30:54,lucky-star-notification-service,16.61%,344.2MiB / 15.47GiB
14:30:54,lucky-star-kafka-ui,0.12%,290.9MiB / 15.47GiB
14:30:54,lucky-star-postgres,95.85%,771.9MiB / 15.47GiB
14:30:54,lucky-star-redis,19.70%,13.27MiB / 15.47GiB
14:30:54,lucky-star-kafka,73.59%,1.233GiB / 15.47GiB
14:30:54,lucky-star-mysql,20.25%,599.7MiB / 15.47GiB
14:30:54,lucky-star-grafana,0.04%,57.82MiB / 15.47GiB
14:30:54,lucky-star-prometheus,0.52%,74.88MiB / 15.47GiB
14:30:54,lucky-star-zookeeper,0.13%,134.7MiB / 15.47GiB
14:30:56,lucky-star-wallet-service,400.14%,602.1MiB / 15.47GiB
14:30:56,lucky-star-gateway-service,84.80%,518.1MiB / 15.47GiB
14:30:56,lucky-star-game-service,203.87%,994.8MiB / 15.47GiB
14:30:56,lucky-star-member-service,0.40%,701.1MiB / 15.47GiB
14:30:56,lucky-star-admin-service,29.94%,661.1MiB / 15.47GiB
14:30:56,lucky-star-rank-service,20.62%,631.3MiB / 15.47GiB
14:30:56,lucky-star-notification-service,16.34%,343.7MiB / 15.47GiB
14:30:56,lucky-star-kafka-ui,1.20%,290.9MiB / 15.47GiB
14:30:56,lucky-star-postgres,109.34%,776.7MiB / 15.47GiB
14:30:56,lucky-star-redis,20.53%,13.52MiB / 15.47GiB
14:30:56,lucky-star-kafka,82.85%,1.233GiB / 15.47GiB
14:30:56,lucky-star-mysql,20.81%,599.7MiB / 15.47GiB
14:30:56,lucky-star-grafana,0.07%,57.82MiB / 15.47GiB
14:30:56,lucky-star-prometheus,0.80%,75.66MiB / 15.47GiB
14:30:56,lucky-star-zookeeper,0.09%,134.7MiB / 15.47GiB
14:30:58,lucky-star-wallet-service,411.76%,604.3MiB / 15.47GiB
14:30:58,lucky-star-gateway-service,85.45%,518.4MiB / 15.47GiB
14:30:58,lucky-star-game-service,210.80%,996MiB / 15.47GiB
14:30:58,lucky-star-member-service,6.00%,701.1MiB / 15.47GiB
14:30:58,lucky-star-admin-service,21.65%,660.6MiB / 15.47GiB
14:30:58,lucky-star-rank-service,11.32%,630.6MiB / 15.47GiB
14:30:58,lucky-star-notification-service,20.91%,343.9MiB / 15.47GiB
14:30:58,lucky-star-kafka-ui,0.09%,290.9MiB / 15.47GiB
14:30:58,lucky-star-postgres,106.14%,779.5MiB / 15.47GiB
14:30:58,lucky-star-redis,13.80%,14.04MiB / 15.47GiB
14:30:58,lucky-star-kafka,80.30%,1.235GiB / 15.47GiB
14:30:58,lucky-star-mysql,23.79%,599.5MiB / 15.47GiB
14:30:58,lucky-star-grafana,0.17%,57.82MiB / 15.47GiB
14:30:58,lucky-star-prometheus,1.12%,74.91MiB / 15.47GiB
14:30:58,lucky-star-zookeeper,0.14%,134.7MiB / 15.47GiB
14:31:00,lucky-star-wallet-service,354.36%,608.2MiB / 15.47GiB
14:31:00,lucky-star-gateway-service,102.22%,519.3MiB / 15.47GiB
14:31:00,lucky-star-game-service,203.20%,996.1MiB / 15.47GiB
14:31:00,lucky-star-member-service,0.71%,701.1MiB / 15.47GiB
14:31:00,lucky-star-admin-service,30.91%,660.4MiB / 15.47GiB
