ts,name,cpu,mem
14:25:30,lucky-star-game-service,299.82%,961.4MiB / 15.47GiB
14:25:30,lucky-star-member-service,1.69%,701MiB / 15.47GiB
14:25:30,lucky-star-wallet-service,165.40%,824.5MiB / 15.47GiB
14:25:30,lucky-star-admin-service,38.40%,655.9MiB / 15.47GiB
14:25:30,lucky-star-rank-service,9.81%,629.2MiB / 15.47GiB
14:25:30,lucky-star-notification-service,20.58%,343.1MiB / 15.47GiB
14:25:30,lucky-star-kafka-ui,0.10%,282.3MiB / 15.47GiB
14:25:30,lucky-star-postgres,109.25%,759.1MiB / 15.47GiB
14:25:30,lucky-star-redis,20.24%,12.91MiB / 15.47GiB
14:25:30,lucky-star-kafka,83.59%,1.217GiB / 15.47GiB
14:25:30,lucky-star-mysql,23.11%,593.6MiB / 15.47GiB
14:25:30,lucky-star-grafana,0.07%,52.24MiB / 15.47GiB
14:25:30,lucky-star-prometheus,1.58%,64.82MiB / 15.47GiB
14:25:30,lucky-star-zookeeper,0.09%,134.4MiB / 15.47GiB
14:25:32,lucky-star-gateway-service,97.31%,489.1MiB / 15.47GiB
14:25:32,lucky-star-game-service,354.62%,972.6MiB / 15.47GiB
14:25:32,lucky-star-member-service,0.39%,701.3MiB / 15.47GiB
14:25:32,lucky-star-wallet-service,137.56%,824.5MiB / 15.47GiB
14:25:32,lucky-star-admin-service,36.33%,656.2MiB / 15.47GiB
14:25:32,lucky-star-rank-service,3.44%,629.2MiB / 15.47GiB
14:25:32,lucky-star-notification-service,25.36%,343.6MiB / 15.47GiB
14:25:32,lucky-star-kafka-ui,0.09%,282.3MiB / 15.47GiB
14:25:32,lucky-star-postgres,101.02%,764.7MiB / 15.47GiB
14:25:32,lucky-star-redis,20.04%,13.09MiB / 15.47GiB
14:25:32,lucky-star-kafka,84.98%,1.217GiB / 15.47GiB
14:25:32,lucky-star-mysql,19.05%,593.6MiB / 15.47GiB
14:25:32,lucky-star-grafana,0.07%,52.24MiB / 15.47GiB
14:25:32,lucky-star-prometheus,0.00%,64.71MiB / 15.47GiB
