ts,name,cpuPct,mem
2026-07-23T12:05:12,lucky-star-admin-service,5.23%,604MiB / 15.47GiB
2026-07-23T12:05:12,lucky-star-rank-service,0.63%,509.1MiB / 15.47GiB
2026-07-23T12:05:12,lucky-star-notification-service,0.70%,329MiB / 15.47GiB
2026-07-23T12:05:12,lucky-star-kafka-ui,0.09%,265.4MiB / 15.47GiB
2026-07-23T12:05:12,lucky-star-postgres,0.05%,382.9MiB / 15.47GiB
2026-07-23T12:05:12,lucky-star-redis,1.70%,9.168MiB / 15.47GiB
2026-07-23T12:05:12,lucky-star-kafka,2.90%,953.2MiB / 15.47GiB
2026-07-23T12:05:12,lucky-star-mysql,1.29%,508.4MiB / 15.47GiB
2026-07-23T12:05:12,lucky-star-grafana,0.12%,52.21MiB / 15.47GiB
2026-07-23T12:05:12,lucky-star-prometheus,0.65%,64.55MiB / 15.47GiB
2026-07-23T12:05:12,lucky-star-zookeeper,0.16%,133.4MiB / 15.47GiB
2026-07-23T12:05:18,lucky-star-gateway-service,0.15%,463.5MiB / 15.47GiB
2026-07-23T12:05:18,lucky-star-game-service,3.09%,675.6MiB / 15.47GiB
2026-07-23T12:05:18,lucky-star-member-service,2.44%,586.3MiB / 15.47GiB
2026-07-23T12:05:18,lucky-star-wallet-service,1.32%,749.4MiB / 15.47GiB
2026-07-23T12:05:18,lucky-star-admin-service,0.35%,604.1MiB / 15.47GiB
2026-07-23T12:05:18,lucky-star-rank-service,0.65%,509.4MiB / 15.47GiB
2026-07-23T12:05:18,lucky-star-notification-service,1.06%,329MiB / 15.47GiB
2026-07-23T12:05:18,lucky-star-kafka-ui,0.09%,265.4MiB / 15.47GiB
2026-07-23T12:05:18,lucky-star-postgres,0.14%,384.1MiB / 15.47GiB
2026-07-23T12:05:18,lucky-star-redis,0.27%,8.012MiB / 15.47GiB
2026-07-23T12:05:18,lucky-star-kafka,2.98%,954.2MiB / 15.47GiB
2026-07-23T12:05:18,lucky-star-mysql,0.54%,507.6MiB / 15.47GiB
2026-07-23T12:05:18,lucky-star-grafana,0.08%,52.21MiB / 15.47GiB
2026-07-23T12:05:18,lucky-star-prometheus,0.58%,65.19MiB / 15.47GiB
2026-07-23T12:05:18,lucky-star-zookeeper,0.08%,133.4MiB / 15.47GiB
2026-07-23T12:05:25,lucky-star-gateway-service,0.18%,462.9MiB / 15.47GiB
2026-07-23T12:05:25,lucky-star-game-service,0.38%,675.8MiB / 15.47GiB
2026-07-23T12:05:25,lucky-star-member-service,0.34%,586.6MiB / 15.47GiB
2026-07-23T12:05:25,lucky-star-wallet-service,1.12%,749.5MiB / 15.47GiB
2026-07-23T12:05:25,lucky-star-admin-service,3.39%,604.2MiB / 15.47GiB
2026-07-23T12:05:25,lucky-star-rank-service,0.40%,509.6MiB / 15.47GiB
2026-07-23T12:05:25,lucky-star-notification-service,0.52%,328.8MiB / 15.47GiB
2026-07-23T12:05:25,lucky-star-kafka-ui,0.09%,265.4MiB / 15.47GiB
2026-07-23T12:05:25,lucky-star-postgres,0.21%,383.7MiB / 15.47GiB
2026-07-23T12:05:25,lucky-star-redis,0.30%,8.461MiB / 15.47GiB
